"Name"	"Work-Stealing Lazy Deque"	"Work-Stealing Deque"	"Idempotent Work-Stealing Deque"
"Crypt (A)"	0.138666666666667		0.138666666666667	0.133
"Crypt (B)"	0.282		0.286	0.282333333333333
"Crypt (C)"	0.553333333333333		0.557333333333333	0.555333333333333
"LUFact (A)"	0.370666666666667		0.367	0.366333333333333
"LUFact (B)"	0.596333333333333		0.624666666666667	0.665
"LUFact (C)"	2.462		2.51933333333333	2.41733333333333
"SOR (A)"	0.494333333333333		0.488666666666667	0.514
"SOR (B)"	0.619		0.600333333333333	0.636
"SOR (C)"	0.758666666666667		0.728333333333333	0.763
"Series (A)"	1.33666666666667		1.315	1.33166666666667
"Series (B)"	11.4363333333333		11.4463333333333	11.418
"MolDyn (A)"	0.673		0.696	0.67
"MolDyn (B)"	5.79966666666667		6.35833333333333	6.38466666666667
"MonteCarlo (A)"	0.851		0.878666666666667	0.963666666666667
"MonteCarlo (B)"	3.00533333333333		3.06666666666667	3.08066666666667
"RayTracer (A)"	0.388666666666667		0.379666666666667	0.386
"RayTracer (B)"	2.559		2.64033333333333	2.81366666666667
