"Name"	"Idempotent Work-Stealing Deque"	"Duplicating Work-Stealing Queue"
"Crypt (A)"	0.133		0.140333333333333
"Crypt (B)"	0.282333333333333		0.282
"Crypt (C)"	0.555333333333333		0.56
"LUFact (A)"	0.366333333333333		0.363
"LUFact (B)"	0.665		0.660333333333333
"LUFact (C)"	2.41733333333333		2.50933333333333
"SOR (A)"	0.514		0.499333333333333
"SOR (B)"	0.636		0.622666666666667
"SOR (C)"	0.763		0.737666666666667
"Series (A)"	1.33166666666667		1.33166666666667
"Series (B)"	11.418		11.4203333333333
"MolDyn (A)"	0.67		0.681333333333333
"MolDyn (B)"	6.38466666666667		6.37066666666667
"MonteCarlo (A)"	0.963666666666667		0.925
"MonteCarlo (B)"	3.08066666666667		3.009
"RayTracer (A)"	0.386		0.388333333333333
"RayTracer (B)"	2.81366666666667		2.78133333333333
