"Name"	"Work-Stealing Deque"	"Dynamic Work-Stealing Deque"
"Crypt (A)"	0.138666666666667		0.143
"Crypt (B)"	0.286		0.302333333333333
"Crypt (C)"	0.557333333333333		0.583333333333333
"LUFact (A)"	0.367		0.469666666666667
"LUFact (B)"	0.624666666666667		0.804666666666667
"LUFact (C)"	2.51933333333333		2.70166666666667
"SOR (A)"	0.488666666666667		0.544666666666667
"SOR (B)"	0.600333333333333		0.671666666666667
"SOR (C)"	0.728333333333333		0.823333333333333
"Series (A)"	1.315		8.801
"Series (B)"	11.4463333333333		88.6673333333333
"MolDyn (A)"	0.696		0.807
"MolDyn (B)"	6.35833333333333		6.72066666666667
"MonteCarlo (A)"	0.878666666666667		3.30166666666667
"MonteCarlo (B)"	3.06666666666667		14.2256666666667
"RayTracer (A)"	0.379666666666667		0.460666666666667
"RayTracer (B)"	2.64033333333333		3.05266666666667
