"Name"	"Idempotent Work-Stealing Deque"	"Idempotent FIFO Queue"	"Idempotent LIFO Queue"
"Crypt (A)"	0.133		0.134666666666667	0.138
"Crypt (B)"	0.282333333333333		0.294	0.285666666666667
"Crypt (C)"	0.555333333333333		0.554	0.560333333333333
"LUFact (A)"	0.366333333333333		0.364	0.384666666666667
"LUFact (B)"	0.665		0.64	0.647
"LUFact (C)"	2.41733333333333		2.469	2.54833333333333
"SOR (A)"	0.514		0.524	0.554666666666667
"SOR (B)"	0.636		0.680666666666667	0.677
"SOR (C)"	0.763		0.935	0.848
"Series (A)"	1.33166666666667		1.31866666666667	8.74233333333333
"Series (B)"	11.418		11.4243333333333	88.4936666666667
"MolDyn (A)"	0.67		0.694	0.698666666666667
"MolDyn (B)"	6.38466666666667		6.60633333333333	6.18466666666667
"MonteCarlo (A)"	0.963666666666667		0.958666666666667	3.08966666666667
"MonteCarlo (B)"	3.08066666666667		3.00966666666667	14.1546666666667
"RayTracer (A)"	0.386		0.378333333333333	0.39
"RayTracer (B)"	2.81366666666667		2.61333333333333	2.56433333333333
