"Name"	"Work-Stealing Deque"	"Linked Blocking Deque"	"Single Shared Work Queue"
"Crypt (A)"	0.138666666666667		0.136333333333333	0.143666666666667
"Crypt (B)"	0.286		0.284333333333333	0.283
"Crypt (C)"	0.557333333333333		0.556333333333333	0.553333333333333
"LUFact (A)"	0.367		0.305666666666667	0.396
"LUFact (B)"	0.624666666666667		0.494666666666667	0.732333333333333
"LUFact (C)"	2.51933333333333		2.203	2.316
"SOR (A)"	0.488666666666667		0.527	0.805
"SOR (B)"	0.600333333333333		0.624333333333333	1.15466666666667
"SOR (C)"	0.728333333333333		0.788666666666667	1.53066666666667
"Series (A)"	1.315		1.347	1.33866666666667
"Series (B)"	11.4463333333333		11.411	11.4046666666667
"MolDyn (A)"	0.696		0.681	0.786
"MolDyn (B)"	6.35833333333333		6.43433333333333	6.241
"MonteCarlo (A)"	0.878666666666667		0.864333333333333	0.933333333333333
"MonteCarlo (B)"	3.06666666666667		3.03233333333333	3.088
"RayTracer (A)"	0.379666666666667		0.391333333333333	0.378333333333333
"RayTracer (B)"	2.64033333333333		2.54433333333333	2.647
