"Name"	"Single Thread"	"8 Threads"	"Work-Stealing Lazy Deque"
"Crypt (A)"	0.255666666666667		0.0963333333333333	0.138666666666667
"Crypt (B)"	1.549		0.321666666666667	0.282
"Crypt (C)"	3.82933333333333		0.580666666666667	0.553333333333333
"LUFact (A)"	0.108		0.180666666666667	0.370666666666667
"LUFact (B)"	0.621		0.180666666666667	0.596333333333333
"LUFact (C)"	5.60666666666667		1.873	2.462
"SOR (A)"	0.525666666666667		0.197	0.494333333333333
"SOR (B)"	1.142		0.326	0.619
"SOR (C)"	1.98266666666667		0.801333333333333	0.758666666666667
"Series (A)"	8.748		1.14866666666667	1.33666666666667
"Series (B)"	88.6193333333333		11.249	11.4363333333333
"MolDyn (A)"	1.46733333333333		0.633	0.673
"MolDyn (B)"	23.1643333333333		4.33766666666667	5.79966666666667
"MonteCarlo (A)"	2.955		0.701666666666667	0.851
"MonteCarlo (B)"	14.0563333333333		2.82133333333333	3.00533333333333
"RayTracer (A)"	1.71433333333333		0.391	0.388666666666667
"RayTracer (B)"	17.954		2.864	2.559
