"Name"	"Work-Stealing Lazy Deque"	"Work-Stealing Deque"	"Idempotent Work-Stealing Deque"
"Crypt (A)"	0.175666666666667		0.177333333333333	0.177666666666667
"Crypt (B)"	0.708333333333333		0.711666666666667	0.701333333333333
"Crypt (C)"	1.63666666666667		1.637	1.63033333333333
"LUFact (A)"	0.322		0.325333333333333	0.361666666666667
"LUFact (B)"	1.048		1.02566666666667	1.027
"LUFact (C)"	9.35		9.40733333333333	9.41333333333333
"SOR (A)"	0.844666666666667		0.822333333333333	0.871
"SOR (B)"	1.381		1.36666666666667	1.43
"SOR (C)"	2.12633333333333		2.123	2.17966666666667
"Series (A)"	4.19233333333333		4.20466666666667	4.23066666666667
"Series (B)"	40.4433333333333		40.4143333333333	40.3453333333333
"MolDyn (A)"	1.29433333333333		1.391	1.34866666666667
"MolDyn (B)"	18.677		17.7716666666667	17.482
"MonteCarlo (A)"	2.503		2.52433333333333	2.549
"MonteCarlo (B)"	8.66333333333333		8.84433333333333	8.86533333333333
"RayTracer (A)"	1.098		1.09066666666667	1.10233333333333
"RayTracer (B)"	10.4066666666667		9.764	10.355
