"Name"	"Idempotent Work-Stealing Deque"	"Duplicating Work-Stealing Queue"
"Crypt (A)"	0.177666666666667		0.177
"Crypt (B)"	0.701333333333333		0.705
"Crypt (C)"	1.63033333333333		1.63533333333333
"LUFact (A)"	0.361666666666667		0.349
"LUFact (B)"	1.027		1.03133333333333
"LUFact (C)"	9.41333333333333		9.41033333333333
"SOR (A)"	0.871		0.844
"SOR (B)"	1.43		1.38466666666667
"SOR (C)"	2.17966666666667		2.142
"Series (A)"	4.23066666666667		4.18533333333333
"Series (B)"	40.3453333333333		40.3676666666667
"MolDyn (A)"	1.34866666666667		1.294
"MolDyn (B)"	17.482		18.5626666666667
"MonteCarlo (A)"	2.549		2.51266666666667
"MonteCarlo (B)"	8.86533333333333		8.87466666666667
"RayTracer (A)"	1.10233333333333		1.096
"RayTracer (B)"	10.355		10.4026666666667
