"Name"	"Work-Stealing Deque"	"Dynamic Work-Stealing Deque"
"Crypt (A)"	0.177333333333333		0.173333333333333
"Crypt (B)"	0.711666666666667		0.707333333333333
"Crypt (C)"	1.637		1.63933333333333
"LUFact (A)"	0.325333333333333		0.36
"LUFact (B)"	1.02566666666667		1.05
"LUFact (C)"	9.40733333333333		9.44666666666667
"SOR (A)"	0.822333333333333		0.780666666666667
"SOR (B)"	1.36666666666667		1.155
"SOR (C)"	2.123		1.74266666666667
"Series (A)"	4.20466666666667		7.44
"Series (B)"	40.4143333333333		74.3
"MolDyn (A)"	1.391		1.16766666666667
"MolDyn (B)"	17.7716666666667		18.911
"MonteCarlo (A)"	2.52433333333333		3.52966666666667
"MonteCarlo (B)"	8.84433333333333		14.5316666666667
"RayTracer (A)"	1.09066666666667		0.995333333333333
"RayTracer (B)"	9.764		8.69833333333333
