"Name"	"Idempotent Work-Stealing Deque"	"Idempotent FIFO Queue"	"Idempotent LIFO Queue"
"Crypt (A)"	0.177666666666667		0.181	0.176333333333333
"Crypt (B)"	0.701333333333333		0.700333333333333	0.728333333333333
"Crypt (C)"	1.63033333333333		1.636	1.71233333333333
"LUFact (A)"	0.361666666666667		0.332666666666667	0.385
"LUFact (B)"	1.027		1.032	1.06166666666667
"LUFact (C)"	9.41333333333333		9.453	9.40333333333333
"SOR (A)"	0.871		1.00866666666667	0.941666666666667
"SOR (B)"	1.43		1.93466666666667	1.32666666666667
"SOR (C)"	2.17966666666667		3.06833333333333	1.95033333333333
"Series (A)"	4.23066666666667		4.248	7.46566666666667
"Series (B)"	40.3453333333333		40.6286666666667	74.4246666666667
"MolDyn (A)"	1.34866666666667		1.33766666666667	1.169
"MolDyn (B)"	17.482		20.0893333333333	18.2676666666667
"MonteCarlo (A)"	2.549		2.527	3.636
"MonteCarlo (B)"	8.86533333333333		8.90966666666667	14.6803333333333
"RayTracer (A)"	1.10233333333333		1.10466666666667	1.01233333333333
"RayTracer (B)"	10.355		9.84333333333333	9.88566666666667
