"Name"	"Work-Stealing Deque"	"Linked Blocking Deque"	"Single Shared Work Queue"
"Crypt (A)"	0.177333333333333		0.173	0.172
"Crypt (B)"	0.711666666666667		0.712666666666667	0.707333333333333
"Crypt (C)"	1.637		1.68933333333333	1.66
"LUFact (A)"	0.325333333333333		0.334666666666667	0.330666666666667
"LUFact (B)"	1.02566666666667		1.00433333333333	0.925666666666667
"LUFact (C)"	9.40733333333333		9.347	9.26066666666667
"SOR (A)"	0.822333333333333		0.947333333333333	0.880333333333333
"SOR (B)"	1.36666666666667		1.51033333333333	1.336
"SOR (C)"	2.123		2.24833333333333	1.89566666666667
"Series (A)"	4.20466666666667		4.42166666666667	4.3
"Series (B)"	40.4143333333333		42.036	41.1086666666667
"MolDyn (A)"	1.391		1.41	1.375
"MolDyn (B)"	17.7716666666667		18.2446666666667	19.0406666666667
"MonteCarlo (A)"	2.52433333333333		2.559	2.56233333333333
"MonteCarlo (B)"	8.84433333333333		8.94166666666667	8.814
"RayTracer (A)"	1.09066666666667		1.13966666666667	1.134
"RayTracer (B)"	9.764		10.6763333333333	10.664
