"Name"	"Single Thread"	"2 Threads"	"Work-Stealing Lazy Deque"
"Crypt (A)"	0.211666666666667		0.147666666666667	0.175666666666667
"Crypt (B)"	1.28		0.706666666666667	0.708333333333333
"Crypt (C)"	3.165		1.69266666666667	1.63666666666667
"LUFact (A)"	0.0896666666666667		0.117	0.322
"LUFact (B)"	0.726		0.533333333333333	1.048
"LUFact (C)"	8.96933333333333		9.17033333333333	9.35
"SOR (A)"	0.647666666666667		0.682	0.844666666666667
"SOR (B)"	1.69566666666667		1.798	1.381
"SOR (C)"	2.97633333333333		3.14533333333333	2.12633333333333
"Series (A)"	7.276		3.84166666666667	4.19233333333333
"Series (B)"	74.016		38.8593333333333	40.4433333333333
"MolDyn (A)"	1.30666666666667		0.990333333333333	1.29433333333333
"MolDyn (B)"	21.4916666666667		12.018	18.677
"MonteCarlo (A)"	3.065		1.82	2.503
"MonteCarlo (B)"	14.6656666666667		8.36433333333333	8.66333333333333
"RayTracer (A)"	1.69666666666667		0.983	1.098
"RayTracer (B)"	16.499		8.867	10.4066666666667
